
Final score (sorted):
model: an_1 + an_2                   ; error: 0              
model: an_1**2*n + 20211216*an_1 + 20211216*an_2*an_3*n; error: 20211216       
model: an_1 + 20211216*n             ; error: 20211216       
model: an_1*n + 20211216*an_2 + 20211216*n; error: 20211216       
model: 20211216*an_1*n + an_3        ; error: 20211216       
model: 20211216*an_1 + n             ; error: 20211216       
model: an_1**3                       ; error: 20211216       
model: an_1*an_2**2*n**2 + 20211216*an_1 + 20211216*n; error: 20211216       
model: 20211216*an_2*n + n           ; error: 20211216       
model: an_3*an_4*n                   ; error: 20211216       
model: an_1*an_3*n**3                ; error: 20211216       
model: an_3                          ; error: 20211216       
model: an_3*n**3                     ; error: 20211216       
model: an_2                          ; error: 20211216       
model: 20211216*an_1**2*an_3 + an_1**2; error: 20211216       
model: an_1*n + 20211216*n           ; error: 20211216       
model: 20211216*an_1**3*n + 20211216*an_1*n + an_33 + 20211216*n; error: 20211216       
model: an_1 + 20211216*n**2 + 20211216*n; error: 20211216       
model: 20211216*an_1*an_8*n**3 + an_1; error: 20211216       
model: 20211216*n**5 + 20211216*n**4 + n; error: 20211216       
model: an_1**2*an_6*n**4             ; error: 20211216       
model: 20211216*an_1**2*an_2 + an_3*n; error: 20211216       
model: 20211216*an_1 + n**4          ; error: 20211216       
model: an_7*n                        ; error: 20211216       
model: an_1*an_3*n                   ; error: 20211216       
model: 20211216*an_1*an_2*n**2 + n**2; error: 20211216       
model: 20211216*an_1*an_2*n**2 + an_2 + 20211216*n; error: 20211216       
model: 20211216*an_1*an_2*n**4 + an_1; error: 20211216       
model: 20211216*an_26*n**2 + n       ; error: 20211216       
model: an_1*n**2 + 20211216*an_8     ; error: 20211216       
model: an_1**2*an_3 + 20211216*an_1  ; error: 20211216       
model: an_1**3*an_2*n**2             ; error: 20211216       
model: an_1*an_4*n**2 + 20211216*an_2 + 20211216*n; error: 20211216       
model: 20211216*an_2*n**4 + 20211217*n; error: 20211216       
model: an_9                          ; error: 20211216       
model: 20211216*an_1*n + 20211216*an_1 + an_3 + 20211216*n; error: 20211216       
model: 20211216*an_1**2 + 20211217*n ; error: 20211216       
model: an_35                         ; error: 20211216       
model: 20211216*an_1*an_3*n + 20211216*an_2 + n; error: 20211216       
model: an_4*n                        ; error: 20211216       
model: an_2**3*n**2                  ; error: 20211216       
model: 20211216*an_1*an_2*n**2 + an_1*n + 20211216*an_1 + 20211216*an_2*an_4 + 20211216*n; error: 20211216       
model: 20211216*an_1*an_3 + an_1*n   ; error: 20211216       
model: an_1 + 20211216*an_2*n        ; error: 20211216       
model: 20211216*an_1*n + 20211216*an_1 + 20211216*an_2 + 20211216*an_3*n**2 + 20211216*an_4 + n; error: 20211216       
model: an_1*an_2*n**2                ; error: 20211216       
model: 20211216*an_1**3*n + an_1**2*an_2*an_28*n**3; error: 20211216       
model: 20211216*an_1**2*an_2 + 20211216*an_1*n + 20211216*an_1 + n; error: 20211216       
model: 20211216*an_2 + 20211216*n**2 + n; error: 20211216       
model: 20211216*an_1 + an_30 + 20211216*n; error: 20211216       
model: an_1*an_12*an_2               ; error: 20211216       
model: 20211216*an_1*n + an_1 + 20211216*n; error: 20211216       
model: an_34*n                       ; error: 20211216       
model: an_1*an_2 + 20211216*an_2*an_6*n**2 + 20211216*n; error: 20211216       
model: 20211216*an_1 + n**2 + 20211216*n; error: 20211216       
model: an_1**2*an_3*an_9*n**3        ; error: 20211216       
model: an_1*n + 20211216*n**2 + 20211216*n; error: 20211216       
model: an_1*an_2*n + 20211216*an_1*n**2; error: 20211216       
model: an_29 + 20211216*n            ; error: 20211216       
model: 20211217*an_1 + 20211216*an_5*n**2 + 20211216*n; error: 20211216       
model: 20211216*an_1 + 20211216*n**2 + n; error: 20211216       
model: 20211216*an_1*n + an_1 + 20211216*n**2; error: 20211216       
model: an_1**3*n                     ; error: 20211216       
model: 20211216*an_1*n + n**4        ; error: 20211216       
model: an_1**2*an_3*n**2             ; error: 20211216       
model: 20211216*an_1*n**2 + 20211217*n; error: 20211216       
model: an_1*an_2**2                  ; error: 20211216       
model: an_1*an_2 + 20211216*n**3 + 20211216*n; error: 20211216       
model: 20211216*an_1 + 20211216*an_2 + n**2 + 20211216*n; error: 20211216       
model: an_2*an_7 + 20211216*n        ; error: 20211216       
model: an_1*an_33 + 20211216*n       ; error: 20211216       
model: an_2**2                       ; error: 20211216       
model: an_2 + 20211216*n**3          ; error: 20211216       
model: 20211216*an_1 + 20211216*an_2 + n; error: 20211216       
model: an_1**2*an_2                  ; error: 20211216       
model: 20211217*an_1                 ; error: 20211216       
model: 20211216*n**2 + n             ; error: 20211216       
model: an_2**2 + 20211216*n          ; error: 20211216       
model: an_1**2*an_35                 ; error: 20211216       
model: 20211216*an_1**2*an_3 + 20211217*n; error: 20211216       
model: 20211216*an_2 + an_4 + 20211216*n; error: 20211216       
model: 20211216*an_1*an_2*n + an_1 + 20211216*n; error: 20211216       
model: an_10*an_2                    ; error: 20211216       
model: an_1**3*an_2*an_37*n**6 + 20211216*n; error: 20211216       
model: an_2**3*an_20*n               ; error: 20211216       
model: 20211216*an_1*n + n           ; error: 20211216       
model: 20211216*an_5 + n             ; error: 20211216       
model: an_3*n**5                     ; error: 20211216       
model: an_1*an_3*n**2                ; error: 20211216       
model: an_1**2*an_2 + 20211216*an_2*an_29; error: 20211216       
model: an_1**2*an_2**2*n**2          ; error: 20211216       
model: 20211216*an_1 + 20211216*an_3 + n; error: 20211216       
model: 20211216*an_2*n**2 + n        ; error: 20211216       
model: an_4*n**2                     ; error: 20211216       
model: an_2*n**2 + 20211216*an_2     ; error: 20211216       
model: an_1**3*n + 20211216*an_1*n   ; error: 20211216       
model: 20211216*an_1**2*n + an_2*n**2; error: 20211216       
model: an_2*n**3 + 20211216*n        ; error: 20211216       
model: an_1*n**2 + 20211216*an_1     ; error: 20211216       
model: 20211216*an_10 + n            ; error: 20211216       
model: 20211216*an_1*n**2 + 20211217*an_1 + 20211216*an_3*n + 20211216*n; error: 20211216       
model: 20211216*an_1**3*an_2*n**3 + n; error: 20211216       
model: 20211216*an_1*an_2*n + an_2   ; error: 20211216       
model: an_1**2 + 20211216*an_1       ; error: 20211216       
model: 20211216*an_2*n + 20211217*n  ; error: 20211216       
model: 20211216*an_1**2 + n          ; error: 20211216       
model: 20211216*an_1*n**2 + n**2     ; error: 20211216       
model: -1.21118477087832*an_1**3*n + 0.340682198262244*an_1**2*an_13*n - 1.51988715748233*an_1**2*n + an_1**2 - 4.06351123152819*an_1 + 3.52342140662638*an_2 + 2.63711880354394*n; error: 100000000      

Total time consumed by now:23.63464487500096


Equation discovery for all (chosen) OEIS sequences took 23.63466766700003 secconds, i.e. 0.39391112778333387 minutes or 0.006565185463055564 hours.
